,username,following,followers,totaltweets,retweetcount
0,vincent13031925,248,112610,44320,0
1,Greggor22189796,422,177,593,18
2,tradingwithmose,351,126,2404,147
3,MarilinNarvaja,1044,1066,24536,468
4,Jeremia07960601,218,301,10143,18
5,hyhsyc,126,13,1098,6
6,bigdaddyiris,615,7678,27441,0
7,undrcvr_sprstar,309,450,14315,0
8,Kristennetten,4257,43828,130472,18
9,feministangel13,419,155,9635,0
10,LeroyMenez,56,7,263,0
11,tangojoshua,3525,706,35966,147
12,TheMissionman4,1093,134,386,0
13,DR0N3L0RD,235,126,18618,0
14,JayKilgore7,4596,4566,55077,0
15,EddyGarciaVega,863,1430,116114,2
16,USA_1st_2022,245,156,27867,1
17,InCLiNix1,52,16,376,141
18,AriStyle88,140,107,989,0
19,stromboliratio,186,67,2545,147
20,griffd,1156,287,9607,18
21,lilitharchives,164,40,402,0
22,BNelden,1796,1009,11790,72
23,ngrossman2000,433,74,10290,2
24,HMGoodenauthor,4411,2926,4870,655
25,JoeSmithSDK,389,1347,89673,0
26,MTrider16,821,293,10871,0
27,chilinhle3,22,2,24,2507
28,Elpanson123,156,289,19775,147
29,EugeneNg_VCap,838,5762,5151,0
30,goldtoochunky77,290,143,29055,147
31,EtherialBitch,1126,128,33700,2
32,AxelRanghar,161,153,1370,139
33,orieshafer,1353,1298,3664,0
34,fleursfaiches,740,771,41740,468
35,Miranda_Dragon,2197,2464,18648,2
36,channel_clear,832,657,111290,0
37,InvariantPersp1,5002,3369,41877,2
38,SabrinaZafar,398,59,420,0
39,W41k3r67342,997,150,2221,90
40,VegasCumQueen,973,9024,2223,36
41,arts_evi,168,5800,1163,2
42,Cranky_Cracknot,870,147,38341,0
43,ClubBayern,3293,3816,109467,92
44,pauljlaverty,2741,2956,8864,0
45,catchit16,3221,750,69077,147
46,Felix98069278,224,265,26023,147
47,WEBuffett1,75,1474,11826,0
48,Major_Kitty,658,51,8203,0
49,TESLA_is_FUTURE,172,1231,4164,147
50,kyeexx_,573,30,3121,564
51,BRSN777,195,3100,2303,147
52,GarrettCGleaton,752,74,1608,147
53,ShepTheMusicalG,1997,2084,13173,267
54,cg3designs,61,24,1651,0
55,LesliePicker,2040,27434,8044,147
56,USTesla,261,54,2775,1
57,kbrig33,217,125,438,14
58,pittajetty24,809,288,18715,147
59,AstroPotamus,2,719,51531,1
60,lydiacostume,996,169,15302,7
61,Luarien,846,715,166997,3
62,channel_clear,832,657,111290,5
63,LlcGilmore,1592,69,1951,102
64,LlcGilmore,1592,69,1951,74
65,LlcGilmore,1592,69,1951,179
66,LaxmanS27729423,29,1,18,0
67,Verlante,83,18,1060,0
68,LlcGilmore,1592,69,1951,129
69,Goony_AU,1410,2670,7082,0
70,CarConcerns,9835,15847,90586,0
71,ment2ride,315,9,418,90
72,TheDogeSon1,1703,1212,1644,0
73,puppypuppi,868,2500,86035,0
74,yyyyy_johhny,331,117,1000,90
75,TukDhakal,380,76,2439,0
76,Canyonaro,200,703,4586,2
77,NaturalParadigm,2970,2543,23850,0
78,Jeffreylestes,339,60,2199,0
79,HealhGlyn,161,855,244552,9
80,AlexDaUkrainian,626,1270,17108,0
81,jadeisexhausted,167,62,7021,468
82,GhostRhyder_,130,35,3395,139
83,jcperez7568,97,53,3601,90
84,Peter_Atwater,1105,23990,27111,2
85,py9fmUwezkacRQ9,11,1,6,0
86,kannajaeymoney,5,0,4,0
87,agnxw,38,13,169,0
88,janel_bonnie,2966,822,45038,2
89,s_dacal,232,51,15414,71
90,The220Podcast,4905,4010,9772,0
91,leonard_per,156,264,17117,71
92,Inc,1695,2777448,316600,2
93,DavidRSimpkins2,103,43,7047,6
94,FightClubTesla,385,119,13599,90
95,Quixotic3lixer,507,108,2708,0
96,Dilophosaur13,3383,1039,89350,0
97,mahsih7,286,155,1260,1093
98,Pauldanne1,185,68,12040,47
99,MuskNL,0,685,5103,1
